neighborhood,n_tracts,owner_units,renter_units,households,tract_coverage,homeownership_rate,income_wtd_avg_of_tract_medians,income_coverage
Armatage,2,1660.706,309.3474,1970.0534,1.0,0.843,153354.6641,1.0
Audubon Park,3,1399.1062,759.8961,2159.0023,1.0,0.648,107015.7543,1.0
Bancroft,2,1079.3433,443.8295,1523.1728,1.0,0.7086,91255.4307,1.0
Beltrami,1,90.4026,105.6606,196.0632,1.0,0.4611,79156.4122,1.0
Bottineau,1,292.9418,516.9411,809.8829,1.0,0.3617,68963.6643,1.0
Bryant,2,785.4295,283.2889,1068.7184,1.0,0.7349,108718.1343,1.0
Bryn - Mawr,2,1246.8581,257.9361,1504.7942,1.0,0.8286,122303.2968,1.0
Camden Industrial,2,399.8485,134.9449,534.7934,0.9861,0.7477,76382.0769,1.0
Cedar - Isles - Dean,2,584.9943,542.7892,1127.7835,1.0,0.5187,131191.888,1.0
Cedar Riverside,2,257.6,3289.0329,3546.6329,1.0,0.0726,25913.4178,1.0
Central,4,1265.7675,931.9121,2197.6795,1.0,0.576,91644.6597,1.0
Cleveland,1,999.5943,306.0342,1305.6284,1.0,0.7656,84811.2313,1.0
Columbia Park,2,1344.1994,332.7457,1676.9451,0.9983,0.8016,91104.5431,1.0
Como,2,389.0627,1083.6598,1472.7225,0.9997,0.2642,67371.1277,1.0
Cooper,1,1238.1195,274.8524,1512.9718,0.9902,0.8183,120136.2016,1.0
Corcoran,2,1024.8702,829.4301,1854.3003,1.0,0.5527,80388.3409,1.0
Diamond Lake,3,2141.9449,537.822,2679.767,1.0,0.7993,145796.8369,1.0
Downtown East,2,638.8558,1729.9622,2368.818,1.0,0.2697,120662.4583,1.0
Downtown West,3,1517.1312,3633.8709,5151.0021,1.0,0.2945,95528.2292,1.0
East Bde Maka Ska,2,659.89,1525.4102,2185.3002,1.0,0.302,106635.1395,1.0
East Harriet,4,1490.8353,1001.8619,2492.6972,1.0,0.5981,109035.2397,1.0
East Isles,3,891.4368,939.0789,1830.5157,1.0,0.487,105759.2505,1.0
East Phillips,1,574.2215,670.707,1244.9285,1.0,0.4612,64341.9951,1.0
Elliot Park,2,758.9458,2717.5747,3476.5205,1.0,0.2183,57088.5356,1.0
Ericsson,2,1345.8608,248.7135,1594.5743,1.0,0.844,114234.6464,1.0
Field,2,893.933,120.5725,1014.5055,1.0,0.8812,136061.0441,1.0
Folwell,2,1213.5905,418.0038,1631.5944,1.0,0.7438,66107.5689,1.0
Fulton,4,2440.0336,314.3264,2754.36,1.0,0.8859,168675.6425,1.0
Hale,1,1056.4416,147.3844,1203.826,1.0,0.8776,161607.5717,1.0
Harrison,2,317.7047,980.3727,1298.0774,1.0,0.2448,64903.146,0.996
Hawthorne,4,717.7056,1079.083,1796.7886,1.0,0.3994,,0.2449
Hiawatha,2,2010.902,1179.9736,3190.8756,0.9964,0.6302,102076.2033,1.0
Holland,2,1024.1906,1064.5875,2088.7781,1.0,0.4903,80620.8042,1.0
Howe,5,2429.6507,864.1195,3293.7702,1.0,0.7377,100740.1452,1.0
Humboldt Industrial Area,1,374.2148,32.6803,406.8951,1.0,0.9197,80525.5945,1.0
Jordan,3,1618.5384,1144.4887,2763.0271,1.0,0.5858,62964.255,1.0
Keewaydin,1,1307.326,132.3725,1439.6985,1.0,0.9081,125464.0724,1.0
Kenny,2,1460.6283,237.3401,1697.9684,1.0,0.8602,169721.1819,1.0
Kenwood,1,542.7168,474.5047,1017.2215,1.0,0.5335,135033.5868,1.0
King Field,3,1747.1888,955.5307,2702.7196,1.0,0.6465,101899.566,1.0
Lind - Bohanon,1,1164.4727,395.9223,1560.395,0.982,0.7463,85165.3577,1.0
Linden Hills,4,2036.3076,1268.487,3304.7947,1.0,0.6162,113776.624,1.0
Logan Park,1,555.5867,720.9084,1276.495,1.0,0.4352,75716.6971,1.0
Longfellow,5,1392.5073,1141.0072,2533.5145,1.0,0.5496,82160.676,1.0
Loring Park,3,1389.9442,5055.112,6445.0562,1.0,0.2157,55726.3349,1.0
Lowry Hill,2,1023.499,1448.4914,2471.9904,1.0,0.414,106738.9194,1.0
Lowry Hill East,2,470.8829,4408.4673,4879.3502,1.0,0.0965,62717.1866,1.0
Lyndale,3,1023.4238,2454.5735,3477.9973,1.0,0.2943,65308.2802,1.0
Lynnhurst,5,2369.2132,332.2619,2701.4751,1.0,0.877,181082.2559,1.0
Marcy Holmes,5,740.4777,6294.5529,7035.0307,1.0,0.1053,49022.4611,1.0
Marshall Terrace,2,401.8646,201.8084,603.6729,1.0,0.6657,63777.0896,1.0
McKinley,2,944.6336,416.4208,1361.0544,1.0,0.694,63539.8234,1.0
Mid - City Industrial,2,207.3293,834.5427,1041.872,0.9999,0.199,84625.8775,1.0
Midtown Phillips,1,683.1837,1069.0881,1752.2717,1.0,0.3899,45404.4581,1.0
Minnehaha,2,1709.5001,416.2056,2125.7057,1.0,0.8042,88680.7755,1.0
Morris Park,1,1225.0333,188.5125,1413.5457,1.0,0.8666,102327.4144,1.0
Near - North,5,1007.1597,1158.7517,2165.9114,1.0,0.465,,0.4505
Nicollet Island - East Bank,1,690.4332,821.7945,1512.2277,1.0,0.4566,114777.7894,1.0
North Loop,2,1175.8798,3847.53,5023.4098,1.0,0.2341,128085.5495,0.998
Northeast Park,1,291.7332,337.175,628.9081,1.0,0.4639,79310.128,1.0
Northrop,2,1600.7595,329.589,1930.3485,1.0,0.8293,127309.7488,1.0
Page,2,815.8416,54.6132,870.4547,1.0,0.9373,170700.0721,1.0
Phillips West,1,246.1484,1930.9051,2177.0535,1.0,0.1131,40787.2036,1.0
Powderhorn Park,4,1789.5421,1361.6918,3151.234,1.0,0.5679,73036.5915,1.0
Prospect Park - East River Road,3,817.9386,3201.1237,4019.0624,0.9992,0.2035,48462.5724,1.0
Regina,2,802.1853,179.5005,981.6858,1.0,0.8172,98386.2632,1.0
Seward,3,1261.1966,2658.5053,3919.7019,1.0,0.3218,57396.7225,1.0
Sheridan,2,541.9151,1044.066,1585.9811,1.0,0.3417,78578.1095,1.0
Shingle Creek,1,680.3705,59.7388,740.1094,1.0,0.9193,80531.0734,1.0
South Uptown,2,1049.1142,2336.9618,3386.076,1.0,0.3098,73027.3742,1.0
St. Anthony East,1,332.3658,787.0061,1119.3718,1.0,0.2969,82453.17,1.0
St. Anthony West,2,519.0796,1232.6436,1751.7232,1.0,0.2963,94493.9635,1.0
Standish,4,2355.3222,805.6405,3160.9626,1.0,0.7451,95786.6913,1.0
Steven's Square - Loring Heights,3,910.4387,2659.2841,3569.7228,1.0,0.255,52370.0714,1.0
Sumner - Glenwood,2,267.2041,371.5303,638.7344,1.0,0.4183,,0.022
Tangletown,2,1608.3679,392.5345,2000.9024,1.0,0.8038,151896.4921,1.0
University of Minnesota,3,73.3164,982.9161,1056.2325,1.0,0.0694,32362.8027,1.0
Ventura Village,3,370.8371,2027.8787,2398.7159,1.0,0.1546,37445.3681,1.0
Victory,2,1658.5316,528.8959,2187.4276,1.0,0.7582,82844.7332,1.0
Waite Park,2,1751.6224,123.3212,1874.9436,0.9997,0.9342,131417.324,1.0
Webber - Camden,2,1467.8175,434.6159,1902.4334,1.0,0.7715,62835.6625,1.0
Wenonah,2,1179.4927,412.0438,1591.5364,1.0,0.7411,105080.5011,1.0
West Maka Ska,1,428.9634,670.5537,1099.5171,1.0,0.3901,90288.4299,1.0
Whittier,5,988.9604,7567.9846,8556.945,1.0,0.1156,55269.7647,1.0
Willard - Hay,4,1898.0143,1289.9805,3187.9948,1.0,0.5954,60272.761,1.0
Windom,2,1316.602,521.9886,1838.5906,1.0,0.7161,142153.1126,1.0
Windom Park,2,1297.3524,1342.2034,2639.5558,1.0,0.4915,103314.8375,1.0
