GEOID,BDNAME,overlap_m2,frac_of_tract,frac_of_neighborhood
27053104002,Como,1158001.485937,0.301603,0.396747
27053104002,Mid - City Industrial,2676806.336922,0.697178,0.982543
27053104002,Beltrami,43.94184,1.1e-05,7.5e-05
27053104002,Marcy Holmes,4637.368914,0.001208,0.002142
27053980100,Hiawatha,578.470806,0.000156,0.00018
27053980100,Minnehaha,373.482964,0.000101,0.000242
27053980100,Morris Park,280.170232,7.6e-05,0.000201
27053003801,Downtown East,6145.070576,0.009936,0.006456
27053003801,Beltrami,9.960765,1.6e-05,1.7e-05
27053003801,Marcy Holmes,612301.277232,0.990048,0.282817
27053003802,Downtown East,9.005478,2.9e-05,9e-06
27053003802,Cedar Riverside,106.774275,0.000346,7.2e-05
27053003802,University of Minnesota,39.094583,0.000127,2.3e-05
27053003802,Marcy Holmes,308680.229883,0.999499,0.142577
27053126202,Downtown West,1443.344884,0.001886,0.000749
27053126202,Near - North,64.876057,8.5e-05,2.4e-05
27053126202,North Loop,761649.808049,0.995106,0.34434
27053126202,Nicollet Island - East Bank,2237.597371,0.002923,0.00345
27053126102,Downtown West,791376.609642,0.456127,0.410756
27053126102,Downtown East,923046.679364,0.532018,0.969698
27053126102,North Loop,3150.5897,0.001816,0.001424
27053126102,Elliot Park,623.206958,0.000359,0.000636
27053126102,Marcy Holmes,16792.889008,0.009679,0.007757
27053126101,Downtown West,354458.114365,0.970656,0.183978
27053126101,Downtown East,10.731019,2.9e-05,1.1e-05
27053126101,North Loop,2724.396577,0.007461,0.001232
27053126101,Nicollet Island - East Bank,3561.14933,0.009752,0.005491
27053126101,Marcy Holmes,4419.310233,0.012102,0.002041
27053024904,Diamond Lake,30.767411,1.7e-05,1.2e-05
27053104001,Como,1740923.891213,0.992558,0.596464
27053104001,Prospect Park - East River Road,5006.483189,0.002854,0.001518
27053104001,University of Minnesota,3309.603031,0.001887,0.001949
27053104001,Marcy Holmes,4506.941798,0.00257,0.002082
27053104902,Prospect Park - East River Road,750094.539462,0.999458,0.227411
27053104902,University of Minnesota,407.117262,0.000542,0.00024
27053104801,Downtown East,4844.67903,0.016552,0.00509
27053104801,Ventura Village,4084.823563,0.013956,0.003483
27053104801,Cedar Riverside,279105.340578,0.953575,0.187795
27053104801,Seward,1534.88762,0.005244,0.000588
27053104801,Elliot Park,3123.767541,0.010672,0.003186
27053104901,Cedar Riverside,12308.184572,0.008226,0.008281
27053104901,Prospect Park - East River Road,83789.760149,0.056,0.025403
27053104901,University of Minnesota,1369583.084791,0.915345,0.806485
27053104901,Marcy Holmes,30567.653786,0.02043,0.014119
27053126201,Downtown West,28.048819,1.9e-05,1.5e-05
27053126201,Sumner - Glenwood,10432.589521,0.007147,0.019574
27053126201,Near - North,23145.693146,0.015856,0.008425
27053126201,Harrison,1376.627455,0.000943,0.000935
27053126201,Loring Park,5925.049041,0.004059,0.004893
27053126201,North Loop,1418056.406507,0.971446,0.641101
27053126201,Lowry Hill,772.890083,0.000529,0.000494
27053126300,Jordan,1.202096,1e-06,1e-06
27053126300,Hawthorne,697863.322822,0.335278,0.28525
27053126300,Near - North,1381070.336496,0.663515,0.502692
27053126300,North Loop,2512.219723,0.001207,0.001136
27053104802,Downtown East,15776.10807,0.01056,0.016573
27053104802,Cedar Riverside,1187424.548553,0.794805,0.798952
27053104802,Prospect Park - East River Road,99.075569,6.6e-05,3e-05
27053104802,University of Minnesota,272426.074853,0.182349,0.160419
27053104802,Seward,17740.146958,0.011874,0.006795
27053104802,Marcy Holmes,516.753808,0.000346,0.000239
27053125900,Ventura Village,1315.08405,0.001254,0.001121
27053125900,Seward,3126.932696,0.002981,0.001198
27053125900,Longfellow,10151.6293,0.009677,0.0046
27053125900,East Phillips,1034393.304405,0.986002,0.9981
27053125900,Midtown Phillips,2.725972,3e-06,3e-06
27053125900,Powderhorn Park,2.316119,2e-06,1e-06
